genes,KI_3,KI_4,KI_6,KI_7,KI_8,SAA_4,SAA_5,SAA_6,SAA_7,SAA_8
MIR1302.2HG,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0
AL627309.1,2,3,4,2,3,2,1,3,4,1
AL627309.3,0,0,0,0,0,0,0,0,0,0
AL627309.2,1,1,2,0,0,0,1,2,0,2
AL627309.5,56,80,59,89,59,105,58,63,77,85
AL627309.4,1,0,0,0,0,0,0,0,0,0
AP006222.2,4,0,0,0,0,0,0,0,0,0
AL732372.1,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0
AC114498.1,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0
AL669831.2,0,0,0,0,0,0,2,0,0,0
LINC01409,100,255,232,174,123,157,141,108,143,140
FAM87B,21,39,31,27,18,29,21,34,71,60
LINC01128,278,532,548,447,386,435,375,349,349,425
LINC00115,140,220,164,183,102,138,108,108,131,177
FAM41C,0,0,3,0,1,1,0,1,2,0
AL645608.6,0,0,0,0,0,0,0,0,0,0
AL645608.2,0,0,0,0,0,0,0,0,2,0
AL645608.4,0,1,0,0,0,0,0,0,0,0
LINC02593,0,0,4,0,0,0,4,0,0,4
SAMD11,4,1,5,1,0,5,1,0,4,4
NOC2L,1676,2215,2070,1924,1768,1804,1540,1412,1775,1644
KLHL17,31,43,59,26,43,34,57,30,34,46
PLEKHN1,0,0,0,0,0,0,0,0,0,0
PERM1,0,0,0,0,0,0,0,0,0,0
AL645608.7,0,0,0,0,0,1,2,0,3,1
HES4,0,0,0,0,0,0,0,0,0,1
ISG15,571,485,432,674,523,2442,465,318,506,689
AL645608.1,1,0,0,0,1,12,3,3,1,10
AGRN,21,28,30,31,34,43,15,11,19,57
AL645608.5,0,0,0,0,0,0,0,0,0,0
AL645608.8,0,0,0,0,0,0,0,0,0,0
RNF223,0,0,0,0,0,0,0,0,0,0
C1orf159,347,585,427,483,441,343,353,310,465,349
AL390719.3,36,46,41,52,46,35,36,27,35,44
LINC01342,0,0,0,0,0,0,0,0,0,0
AL390719.2,0,0,4,0,0,6,0,0,0,0
TTLL10.AS1,0,0,0,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0,0,0,0
TNFRSF18,0,0,2,0,0,0,0,0,0,0
TNFRSF4,69,54,41,41,45,39,31,57,47,54
SDF4,267,395,286,234,240,297,238,163,302,260
B3GALT6,66,70,90,55,91,64,61,60,50,53
C1QTNF12,2,2,0,3,0,1,0,0,0,1
AL162741.1,0,1,5,0,0,0,0,0,0,0
UBE2J2,173,284,185,362,205,229,191,153,336,230
LINC01786,7,20,6,10,22,8,2,6,21,14
SCNN1D,110,159,94,125,108,81,53,68,112,86
ACAP3,52,37,67,50,55,50,30,36,38,39
PUSL1,77,135,78,117,117,90,24,77,141,95
INTS11,1391,2143,1891,1429,1331,1461,1287,1032,1448,1261
AL139287.1,23,34,28,31,18,45,30,15,15,35
CPTP,91,154,43,220,206,92,19,53,209,123
TAS1R3,0,13,9,10,4,3,0,6,14,12
DVL1,52,67,53,78,80,44,35,44,53,68
MXRA8,11,6,7,13,5,9,5,6,11,17
AURKAIP1,358,559,358,409,395,329,232,259,370,304
CCNL2,5151,8151,5637,10275,7145,5915,3840,4108,10373,7589
MRPL20.AS1,621,975,924,691,654,586,532,502,572,630
MRPL20,1109,1441,1401,1324,1201,1140,1180,929,1051,1198
AL391244.2,22,29,52,35,20,21,15,14,6,17
ANKRD65,0,3,3,4,0,0,2,0,5,10
AL391244.1,0,0,0,0,0,0,0,0,0,2
TMEM88B,0,0,0,0,0,0,0,0,0,0
LINC01770,1,2,2,3,0,0,2,2,3,5
VWA1,6,0,1,1,3,3,1,3,1,0
ATAD3C,0,4,0,1,0,2,1,0,0,0
ATAD3B,175,276,294,217,195,259,216,164,213,224
ATAD3A,79,74,79,60,86,83,68,38,71,65
TMEM240,0,2,0,0,0,1,0,1,0,0
SSU72,928,1205,1330,1037,1101,1032,895,783,905,1090
AL645728.1,11,15,34,30,27,8,9,8,14,31
FNDC10,6,2,5,12,10,3,9,7,10,4
AL691432.4,1,15,6,9,3,1,6,4,8,6
AL691432.2,61,107,55,102,105,73,31,70,95,105
MIB2,30,70,31,47,53,26,24,18,30,32
MMP23B,3,3,5,1,6,3,4,1,3,3
CDK11B,442,675,630,561,494,536,475,468,527,541
FO704657.1,0,0,1,0,1,0,0,0,0,1
SLC35E2B,1705,2439,1785,2968,1987,1692,1145,1361,2261,1810
CDK11A,871,1201,1114,1071,872,991,857,623,883,965
SLC35E2A,956,1353,1384,1469,1123,886,750,948,1204,1242
NADK,471,601,613,472,402,714,444,436,588,576
GNB1,1300,1936,1842,1439,1271,1429,1347,1091,1341,1399
AL109917.1,2,4,0,2,5,2,3,3,0,2
CALML6,1,2,2,1,2,1,0,0,0,6
TMEM52,0,0,0,0,0,0,0,0,0,0
CFAP74,203,267,360,263,227,134,103,163,150,175
AL391845.2,0,0,0,0,0,0,0,0,0,0
GABRD,0,2,7,1,0,0,0,0,0,1
AL391845.1,0,0,0,0,0,0,0,0,0,0
PRKCZ,11,12,4,7,5,6,1,15,6,10
AL590822.2,0,8,0,1,0,1,1,0,0,0
PRKCZ.AS1,2,5,7,4,12,8,0,1,1,0
FAAP20,59,139,128,109,89,87,109,66,113,99
AL590822.1,0,0,0,0,0,0,0,0,0,0
SKI,299,395,383,281,240,379,326,281,316,435
AL590822.3,27,42,43,34,33,45,30,45,75,33
MORN1,153,210,116,120,139,152,112,102,143,180
AL589739.1,5,0,0,0,4,6,1,0,3,3
AL513477.2,11,12,13,33,16,37,13,17,16,33
RER1,2804,3635,2527,3156,2885,2536,1121,2039,2957,2864
PEX10,24,29,24,43,32,16,7,19,71,54
PLCH2,1,0,0,4,1,1,0,3,2,1
AL139246.1,4,0,0,0,1,1,0,1,0,1
AL139246.4,2,1,1,0,0,0,0,2,1,0
PANK4,767,1221,929,897,952,881,733,600,697,795
HES5,0,0,0,0,0,0,0,0,0,0
AL139246.5,20,14,6,35,39,19,2,10,58,34
TNFRSF14.AS1,15,20,38,25,60,6,34,26,27,31
TNFRSF14,1595,2354,2422,1788,1272,1538,1647,1301,1489,1759
AL139246.3,4,17,8,8,1,9,0,0,1,5
PRXL2B,96,141,110,115,103,79,30,77,76,86
MMEL1,0,0,0,0,0,0,0,0,0,0
AL831784.1,0,0,0,0,0,0,0,0,0,0
TTC34,9,14,23,7,64,8,17,10,7,20
AC242022.2,0,0,0,0,0,0,0,0,0,0
AC242022.1,0,0,0,0,0,0,0,0,0,0
AL592464.2,0,0,0,0,0,0,0,0,0,0
AL592464.3,0,0,0,0,0,0,0,0,0,0
AL592464.1,0,0,0,0,0,0,0,0,0,0
AL589702.1,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0
PRDM16.DT,0,0,1,0,0,0,0,2,0,0
PRDM16,0,0,0,0,0,0,4,0,0,1
AL008733.1,0,0,0,0,0,0,0,0,0,0
AL590438.1,0,0,0,0,0,2,0,0,0,0
AL354743.2,0,0,0,0,0,1,0,0,0,0
AL354743.1,0,0,0,0,0,1,0,0,0,0
ARHGEF16,10,1,9,0,0,0,6,2,12,3
AL512413.1,0,1,4,4,2,0,0,0,1,0
MEGF6,266,181,235,224,248,103,76,139,212,201
AL513320.1,18,39,13,19,15,5,5,11,15,16
TPRG1L,130,166,162,113,104,164,90,89,127,109
WRAP73,1128,1715,863,1456,1355,1173,483,894,1270,1331
TP73,14,45,34,76,28,29,32,27,36,44
AL136528.1,0,0,0,0,0,0,0,0,0,0
AL136528.2,0,0,0,0,0,0,0,0,0,0
CCDC27,7,31,2,51,20,15,9,10,57,20
SMIM1,14,12,31,21,19,6,11,10,11,10
LRRC47,266,413,438,329,382,315,277,253,345,329
AL365330.1,10,11,19,12,12,12,11,11,12,20
CEP104,301,331,296,361,222,294,258,155,224,372
DFFB,552,714,688,744,609,579,496,477,680,602
C1orf174,893,1175,1068,1028,1027,810,660,737,1016,940
LINC01134,4,10,12,26,9,4,2,6,22,12
LINC01346,0,0,0,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0,0,0,0
LINC02780,0,0,0,0,0,0,0,0,0,0
AL805961.1,0,1,0,0,0,0,0,0,0,1
LINC01777,0,0,0,0,0,0,0,0,0,0
AL355602.1,0,0,0,0,0,0,0,0,0,0
Z98747.1,1,0,0,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0,0,0,0
AJAP1,0,0,0,0,0,0,0,1,0,0
Z98886.1,0,0,0,0,0,0,0,0,0,0
BX005132.1,0,0,0,0,0,0,0,0,0,0
LINC02781,0,0,0,0,0,0,0,0,0,0
LINC02782,0,0,0,0,0,0,0,0,0,0
AL139823.1,0,0,0,0,0,0,0,0,0,0
Z98259.3,0,0,0,2,0,0,0,0,0,0
Z98259.2,0,0,0,0,0,0,0,0,0,0
